id,mileage,customer_id,dealership_id,interior_condition,powertrain,vehicle_type,structural_damage,exterior_condition,windshield,tires_status,tires_needs_new,tires_brand,wheels_alloy,wheels_size,wheels_condition,year,style,trans,engine,drivetrain,division,base_price,tires,seats,paint,color,interior_color,seconds_in_disposition,transports_count,bought_price,costs,profit
5000,223783,302,159,0,1,Live-Trade,1,0,0,2,0,Dunlop,0,17,1,2004,5.4L Eddie Bauer 4WD,4 Speed Automatic Transmission W/Od,5.4L 8 Cylinder Engine Gasoline Fuel,Four Wheel Drive,Ford,36751,0,Leather Trimmed Captains Chairs,0,Red Fire Metallic,Medium Parchment,1904260,1,700,210,bad
4880,163953,382,159,1,2,Live-Trade,1,0,0,2,0,Fuzion,0,15,0,2006,4dr Sdn I4 Auto 1.8 S,Automatic,1.8l 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Nissan,14881,0,Cloth,0,Radium Metallic,Charcoal,603055,1,1000,210,bad
5069,79747,87,58,0,2,Live-Trade,1,1,2,0,4,Continental Tire,0,20,2,2009,4MATIC 4dr 4.6L,Automatic,4.7L 8 Cylinder Engine Gasoline Fuel,Four Wheel Drive,Mercedes-Benz,0,0,"Ash, Leather Seat Trim",0,Black,Cashmere,463939,1,18300,135,good
5122,37704,296,1,2,2,Front-Line,1,2,2,1,0,Other,0,17,2,2013,4dr Sdn SE,5 Speed Manual Transmission,2.0 L Gdi I4 Flex Fuel Engine,Front Wheel Drive,Ford,16972,0,"Charcoal Black, Leather Seat Trim W/Charcoal Black Surround",0,Sterling Grey Metallic,Charcoal Black,3483076,1,11000,290,bad
5126,35043,296,1,2,2,Front-Line,1,2,2,1,0,Goodyear,0,17,2,2013,4WD 4dr Sport,5 Speed Automatic Transmission,3.6 L Smpi 24 V Vvt V6 Engine,Four Wheel Drive,Jeep,25256,0,"Black Interior, Cloth Seat Trim",0,Black,Black Interior,700579,2,26000,275,average
5144,23555,183,1,2,2,Live-Trade,1,1,2,1,0,Kumho Tires,0,16,1,2014,4dr Wgn Touring,Transmission: 6 Speed Automatic 62 Te,3.6l V6 Cylinder Engine Flex Fuel Capability,Front Wheel Drive,Chrysler,29534,0,"Black/light Graystone, Leather Trimmed Bucket Seats",0,Cashmere/sandstone Pearlcoat,Black/light Graystone,2400282,0,17000,40,bad
5119,17577,183,1,2,2,Live-Trade,1,1,2,1,0,Bridgestone,0,20,1,2014,4WD 4dr V6 Limited (Natl),Automatic,4.0l V6 Cylinder Engine Gasoline Fuel,Four Wheel Drive,Toyota,39928,0,"Redwood, Leather Seat Trim",0,Magnetic Gray Metallic,Redwood,324595,0,36500,0,good
5134,76155,183,1,0,2,Live-Trade,1,1,1,2,0,Bridgestone,0,17,1,2011,AWD 4dr LTZ,"Transmission, 6 Speed Automatic, Electronically Controlled With Overdrive",3.6l V6 Cylinder Engine Gasoline Fuel,All Wheel Drive,Chevrolet,38237,0,"Lt Gray/ebony, Seat Trim, Perforated Leather Appointed Seating",0,Red Jewel Tintcoat,Lt Gray/ebony,1028213,0,15500,0,good
4876,27113,183,1,0,2,Live-Trade,1,1,2,2,0,Continental Tire,0,17,0,2013,4dr Sdn Auto Limited (Alabama Plant),Automatic,1.8l 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Hyundai,20218,0,"Beige, Leather Seat Trim",0,Harbor Gray Metallic,Beige,5918031,0,11000,25,bad
5199,170150,363,85,0,2,Aged Unit,1,0,2,0,4,General Tire,0,16,0,2002,"4dr eC 113"" WB",4 Speed Automatic Transmission W/Od,2.4L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Dodge,0,0,Cloth High Back Seat Trim,0,Patriot Blue Pearl,Taupe,1219598,1,500,135,bad
5198,204117,385,190,0,2,In-Stock Trade,1,0,2,2,0,Goodyear,0,14,1,2002,4dr Sdn LE Auto (Natl),4 Speed Automatic Transmission W/Od,1.8L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Toyota,12775,0,Cloth,0,Super White,Pebble Beige,1218803,1,650,135,bad
5239,256701,221,128,2,2,Live-Trade,1,2,2,2,0,Goodyear,0,16,2,2007,"2WD Club Cab 131"" ST",5 Speed Automatic Transmission,"3.7 L V6 ""Magnum"" Engine",Rear Wheel Drive,Dodge,17774,0,Cloth Bucket Seats,0,Brilliant Black Crystal Prl,Med Slate Gray,1611757,0,1500,0,bad
5242,176149,221,128,2,2,Live-Trade,1,1,2,2,0,General Tire,0,17,2,2003,"4dr Quad Cab 140.5"" WB SLT",4 Speed Automatic Transmission W/Od,"4.7 L V8 ""Magnum"" Engine",Rear Wheel Drive,Dodge,22788,0,Cloth 40/20/40 Split Bench Seat,0,Bright Silver Metallic,Dark Slate Gray,2403503,0,3000,0,bad
5228,1268,164,92,2,2,Front-Line,1,1,2,1,0,Continental Tire,0,16,1,2015,FWD 4dr LT,"Transmission, 6 Speed Automatic","Engine, Ecotec Turbo 1.4 L Variable Valve Timing Dohc 4 Cylinder Sequential Mfi",Front Wheel Drive,Chevrolet,21547,0,"Jet Black/brownstone, Deluxe Cloth/leatherette Seat Trim",0,Orange Rock Metallic,Jet Black/brownstone,202531,0,18000,200,average
5252,3608,164,92,2,2,Front-Line,1,1,2,2,0,Continental Tire,0,16,1,2015,FWD 4dr LT,"Transmission, 6 Speed Automatic","Engine, Ecotec Turbo 1.4 L Variable Valve Timing Dohc 4 Cylinder Sequential Mfi",Front Wheel Drive,Chevrolet,21547,0,"Jet Black, Deluxe Cloth/leatherette Seat Trim",0,Black Granite Metallic,Jet Black,185471,0,17700,200,good
4950,15445,386,191,2,2,Live-Trade,1,2,2,0,0,Pirelli,0,18,2,2014,4dr Sdn 528i RWD,Transmission: 8 Speed Automatic W/Steptronic,2.0L 4 Cylinder Engine Gasoline Fuel,Rear Wheel Drive,BMW,45540,0,"Black, Dakota Leather Upholstery",0,Black Sapphire Metallic,Black,1218018,1,33000,400,average
5287,9955,416,58,2,2,Live-Trade,1,2,2,1,0,Michelin,0,16,2,2014,5dr Touring Elite,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Honda,40617,0,"Gray, Leather Seat Trim",0,White Diamond Pearl,Gray,357294,1,32500,135,average
5323,62634,416,58,1,2,In-Stock Trade,1,1,2,0,4,Other,0,16,1,2011,4dr Sdn 328i RWD,6 Speed Steptronic Automatic Transmission,3.0L Straight 6 Cylinder Engine Gasoline Fuel,Rear Wheel Drive,BMW,31830,0,"Black, Leatherette Seat Trim",0,Alpine White,Black,2069795,1,14000,135,bad
5100,138661,398,178,1,2,Front-Line,1,0,2,0,4,Goodyear,0,17,0,2007,"4WD Ext Cab 143.5"" SLE1","Transmission, 4 Speed Automatic, Electronically Controlled","Engine, Vortec 5.3 L V8 Sfi Flexfuel With Active Fuel Management, Capable Of Running On Unleaded Or Up To 85% Ethanol, (315 Hp [234.9 Kw] @ 5200 Rpm, 338 Lb Ft Of Torque [456.3 N M] @ 4400 Rpm), Iron Block",Four Wheel Drive,GMC,27084,0,"Seat Trim, Select Cloth",0,Stealth Gray Metallic,Dark/Lt Titanium,2759148,0,6700,0,bad
5206,105842,434,178,2,2,Aged Unit,1,1,2,2,0,General Tire,0,16,0,2006,5dr EX-L AT with RES,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Honda,29156,0,Leather,0,Ocean Mist Metallic,Gray,5136217,0,6000,-435,bad
5049,152560,398,178,0,2,Front-Line,1,1,2,0,4,Other,0,16,1,2004,4dr Sdn ES 2.4L Auto,Automatic,2.4L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Mitsubishi,17846,0,Cloth Seat Trim,0,Torched Steel Blue Pearl,Gray,956252,0,800,0,bad
5290,25114,87,58,1,2,Live-Trade,1,1,2,2,2,Continental Tire,0,16,0,2010,4dr Sdn I4 CVT 2.5 S,Automatic,2.5L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Nissan,20476,0,Cloth,0,Super Black,Charcoal,707410,1,9500,120,average
5089,140051,398,178,1,2,Front-Line,1,1,2,0,4,Other,0,16,1,2002,4dr Sdn GS,4 Speed Automatic Transmission W/Od,3.0L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Mercury,18418,0,5 Passenger Seating,0,Silver Frost Metallic,Medium Graphite,7405104,0,400,0,average
5336,206633,377,159,0,2,Live-Trade,1,1,2,0,4,Other,0,10,0,1999,4dr Sdn VE Auto,3 Speed Automatic Transmission,1.8L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Toyota,11628,0,Cloth,0,Sandrift Metallic,Pebble Beige,404320,1,700,210,average
5337,65333,375,81,1,2,In-Stock Trade,1,2,2,1,0,Other,0,17,1,2010,2WD 5dr EX-L w/Navi,Automatic,2.4L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Honda,26501,0,Leather,0,Taffeta White,Ivory,342800,1,14200,175,good
5341,58443,87,58,1,2,Live-Trade,1,1,2,0,4,Other,0,17,0,2012,4dr V6 Auto EX-L,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Honda,27191,0,Leather,0,Alabaster Silver Metallic,Black,158041,2,12500,370,average
5185,2315,386,191,2,2,Front-Line,1,2,2,0,0,Continental Tire,0,10,2,2015,4dr Sdn SE,Transmission: 6 Speed Powershift Automatic,Engine: 2.0 L I 4 Gdi Ti Vct Flex Fuel,Front Wheel Drive,Ford,17215,0,"Charcoal Black, Cloth Front Bucket Seats",0,Race Red,Charcoal Black,104299,0,13200,0,average
5161,20408,401,135,2,2,Live-Trade,1,2,2,2,0,Other,0,16,2,2012,FWD 4dr XLT,6 Speed Automatic Transmission W/Od,2.5 L I4 Duratec Engine,Front Wheel Drive,Ford,23222,0,203 A Equipment Group Order Code,0,Ingot Silver Metallic,Charcoal Black,866023,2,14200,180,average
5182,46701,401,135,2,2,Live-Trade,1,2,2,1,0,Goodyear,0,16,2,2013,RWD 4dr Laredo,5 Speed Automatic Transmission,3.6 L Vvt V6 Flex Fuel Engine,Rear Wheel Drive,Jeep,27229,0,Cloth,0,Bright Silver Metallic,Dark Graystone/Medium Graystone,281608,1,18600,175,average
